257,236,117,152
257,235,117,152
256,234,117,152
258,234,117,152
261,239,111,145
262,236,111,145
262,235,111,145
261,233,117,152
263,236,117,152
264,237,117,152
269,242,111,145
264,241,117,152
261,244,117,152
257,240,117,152
250,240,117,152
249,239,117,152
247,235,123,160
247,235,123,160
251,237,123,160
253,234,123,160
253,237,123,160
252,234,123,160
251,234,123,160
252,237,123,160
253,239,123,160
253,242,123,160
255,245,117,152
252,244,123,160
252,248,123,160
250,244,123,160
246,240,123,160
246,245,123,160
248,247,123,160
248,246,123,160
249,248,123,160
250,248,123,160
252,248,123,160
251,246,129,168
251,246,129,168
254,241,129,168
258,244,129,168
265,250,129,168
267,252,129,168
263,252,129,168
261,252,129,168
259,253,129,168
251,251,129,168
249,251,129,168
249,255,129,168
251,257,123,160
247,259,123,160
241,257,123,160
237,253,123,160
234,253,129,168
235,250,129,168
236,249,129,168
238,254,129,168
241,256,129,168
243,259,129,168
243,257,129,168
238,255,129,168
237,259,129,168
236,257,129,168
237,261,129,168
237,264,129,168
239,261,129,168
240,264,129,168
242,264,129,168
245,263,129,168
245,263,129,168
242,260,129,168
236,255,135,176
238,254,135,176
251,257,135,176
265,262,135,176
275,265,135,176
274,265,135,176
266,255,142,185
256,253,142,185
250,251,142,185
246,250,142,185
242,247,142,185
241,247,142,185
245,248,142,185
251,248,142,185
252,249,142,185
250,253,142,185
249,252,142,185
247,253,142,185
248,257,142,185
250,256,142,185
252,251,142,185
255,248,142,185
263,243,142,185
268,239,142,185
269,231,142,185
271,228,142,185
270,230,142,185
269,230,142,185
265,227,142,185
261,225,142,185
258,227,142,185
255,224,142,185
253,223,142,185
252,222,142,185
250,223,142,185
250,229,142,185
251,236,142,185
252,243,142,185
251,245,142,185
245,246,142,185
239,246,142,185
236,245,142,185
233,243,142,185
231,240,149,194
231,238,157,204
232,234,165,214
235,233,165,214
241,236,157,204
241,234,157,204
240,233,157,204
236,231,157,204
231,230,157,204
224,227,157,204
222,226,157,204
218,221,165,214
229,224,165,214
238,226,165,214
244,227,165,214
247,230,165,214
244,233,165,214
236,230,173,225
240,230,173,225
246,236,173,225
247,234,182,236
254,232,182,236
256,235,182,236
263,240,173,225
263,235,173,225
268,237,173,225
271,239,173,225
273,240,173,225
272,241,173,225
268,241,173,225
264,243,173,225
259,247,173,225
257,247,173,225
255,249,173,225
254,258,173,225
252,264,173,225
256,272,165,214
255,275,165,214
250,277,165,214
246,278,165,214
239,276,165,214
239,274,165,214
247,273,165,214
251,270,165,214
252,262,165,214
248,255,173,225
245,246,173,225
242,239,173,225
239,234,173,225
236,230,173,225
229,226,173,225
224,222,173,225
219,215,182,236
224,213,182,236
232,211,182,236
229,202,191,248
235,198,191,248
243,194,191,248
247,190,191,248
255,190,191,248
265,194,191,248
266,195,200,260
267,189,200,260
272,184,200,260
281,184,200,260
285,181,200,260
286,177,200,260
287,175,200,260
283,171,200,260
267,164,210,273
263,166,210,273
263,163,210,273
263,170,210,273
265,174,210,273
262,171,210,273
249,171,210,273
243,168,210,273
236,164,210,273
234,164,210,273
231,160,210,273
234,161,210,273
242,161,210,273
247,156,210,273
250,155,210,273
255,154,210,273
255,152,210,273
259,151,210,273
258,148,210,273
256,147,210,273
261,155,200,260
260,157,200,260
254,161,200,260
254,167,200,260
260,176,200,260
255,178,200,260
246,183,200,260
245,194,200,260
241,196,200,260
235,197,200,260
240,200,200,260
247,199,200,260
256,197,200,260
264,202,200,260
269,203,200,260
269,197,200,260
267,189,200,260
263,191,200,260
258,193,200,260
252,197,200,260
245,205,200,260
241,208,200,260
238,213,200,260
